,name,summary,image,origin,publication_types,founded,parent_comp,hq,website,AuthorConnections,BookConnections,id
18,Alyson Books,"Alfred A. Knopf, Inc. (/knɒpf/) is an American publishing house that was founded by Alfred A. Knopf Sr. and Blanche Knopf in 1915.[1] Blanche and Alfred traveled abroad regularly and were known for publishing European, Asian, and Latin American writers in addition to leading American literary trends. It was acquired by Random House in 1960, and is now part of the Knopf Doubleday Publishing Group division of Penguin Random House which is owned by the German conglomerate Bertelsmann.[2][3] The Knopf publishing house is associated with its borzoi colophon, which was designed by co-founder Blanche Knopf in 1925.[4]
",-1,United States,Books,1980,Regent Media,New York City,www.alyson.com,,,18
19,André Deutsch,"
",-1,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,19
20,Andrews McMeel Publishing,"Alma Books is a publishing house based in Richmond, London, founded in 2005 by Alessandro Gallenzi and Elisabetta Minervini, the founders of Hesperus Press. It publishes mainly fiction, both by authors from the English-speaking world and in translation from languages such as French, German, Italian, Russian, Spanish and Japanese.[2]
",-1,United States,"Books, Calendars",1975; 46 years ago (1975),Andrews McMeel,"Kansas City, Missouri",publishing.andrewsmcmeel.com,,,20
21,Anova Books,"
",-1,Unknown,Books,2005,Unkown,London,www.pavilionbooks.com,,,21
22,Antenne Books,"
",-1,United Kingdom,Books,2010,Unkown,London,www.antennebooks.com,,,22
23,Applewood Books,"Welbeck Publishing Group, formerly Carlton Publishing Group, is a London-based independent book publisher of fiction, narrative and illustrated non-fiction, as well as gift and children's books. Established in 2019 by Executive Directors Mark Smith and Marcus Leaver,[3] the business specialises in commercial publishing in 30 languages and in more than 60 countries around the world, across all genres and categories.
",-1,United States,Unknown,1976,Unkown,"Carlisle, Massachusetts",www.awb.com,,,23
24,Apress,"Hugh T. Andrews (Owner)
",https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Apress-logo.png/220px-Apress-logo.png,United States,Books,Unknown,Springer Nature,New York City,www.apress.com,,,24
25,Arbor House,"Pavilion Books Holdings Ltd is an English publishing company based in London.
",-1,United States,Unknown,1969,Unkown,Unknown,Not available,,,25
26,Arbordale Publishing,"Pavilion Books Holdings Ltd is an English publishing company based in London.
",https://upload.wikimedia.org/wikipedia/en/3/32/Arbordale_Publishing.jpg,United States,Books,2004,Unkown,"Mount Pleasant, SC",arbordalepublishing.com,,,26
27,Arcade Publishing,"Antenne Books is a distributor of independent art publishers.
",-1,United States,Books,1988,Skyhorse Publishing,Unknown,www.arcadepub.com,,,27
28,Arcadia Publishing,"Anvil Press Poetry is an independent poetry publisher based in Greenwich, south-east London. It was founded in 1968 by Peter Jay and specialises in contemporary English poets,[1] with a leavening of Irish and American, and in a range of translated poetry, from ancient classics to modern and contemporary poets.
",https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Arcadia_Vertical_Logo.png/180px-Arcadia_Vertical_Logo.png,United States,Books,1993,Lezen,"Charleston, South Carolina",www.arcadiapublishing.com,,,28
29,Arktos Media,"Apress Media LLC is a publisher of information technology books, based in New York City. It is a division of Springer Nature.
",-1,Unknown,Unknown,[1],Unkown,Budapest,https://arktos.com,,,29
30,Armida Publications,"Arbor House was an independent publishing house founded by Donald Fine in 1969. Specializing in hard cover publications, Arbor House published works by Hortense Calisher, Ken Follett, Cynthia Freeman, Elmore Leonard and Irwin Shaw before being acquired by the Hearst Corporation in 1979 to move into paperback publishing.[1] Arbor House became an imprint of William Morrow & Company in 1988.[2]
",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Armida_new_logo.jpg/220px-Armida_new_logo.jpg,Cyprus,Books,1997,Armida Publications Ltd,Ayios Dhometios,www.armidabooks.com,,,30
31,ArtScroll,"Arbordale Publishing is an independent children's book publishing[1] company located in Mount Pleasant, SC.[2]
",https://upload.wikimedia.org/wikipedia/en/d/df/ArtScroll_logo.jpg,United States,Unknown,1976,Mesorah Publications,"Rahway, New Jersey",www.artscroll.com,,,31
32,Athabasca University Press,"Arcade Publishing is an independent trade publishing company that started in 1988 in New York, USA. It publishes American and world fiction and nonfiction.[1]
",-1,Canada,Unknown,2007,Athabasca University,"Athabasca, Alberta",www.aupress.ca,,,32
33,Atheneum Books,"
",-1,United States,Books,1959,Simon & Schuster,New York City,simonandschusterpublishing.com/atheneum/,,,33
34,The Making of the President 1960,"Arktos Media is a publishing company known for publishing authors of the European New Right, as well as translating European far-right literature into English.[2] Founded in India in 2009 by Swedish businessman Daniel Friberg and John B. Morgan, an American editor, Arktos was launched in 2010, then relocated to Sweden in 2014 and Hungary in 2015. Friberg had previously distributed white power music and Nazi paraphernalia before starting the company. His stated goal was to create a Swedish parallel to American alt-right media.[3]
",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/The_Making_of_the_President_1960_Front_Cover_%281961_first_edition%29.jpg/220px-The_Making_of_the_President_1960_Front_Cover_%281961_first_edition%29.jpg,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,34
35,Atlantic Books,"Armida Publications is an independent publishing house based in Nicosia, Cyprus.
",https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Atlantic_Books_logo.jpg/200px-Atlantic_Books_logo.jpg,United Kingdom,Books,February 2000,Unkown,London,http://www.atlantic-books.co.uk,110,"371,372,376",35
36,Atlas Press,"ArtScroll is an imprint of translations, books and commentaries from an Orthodox Jewish perspective published by Mesorah Publications, Ltd., a publishing company based in Rahway, New Jersey. Rabbi Nosson Scherman is the general editor.[1]
",-1,United Kingdom,Unknown,1983,Unkown,Unknown,www.atlaspress.co.uk,69,216,36
37,ATOM Books,"Ash-Tree Press is a Canadian company that publishes supernatural and horror literature.
",-1,United Kingdom,Books,1938,Hachette,Victoria Embankment,www.littlebrown.co.uk,,,37
38,Atria Publishing Group,"Athabasca University Press (or AU Press) is a scholarly publisher and a division of Athabasca University. Since its 2007 founding, the Press has published over 120 peer-reviewed books, which include titles in North American Western history, labour studies, distance and online education, and indigenous studies. AU Press has also published works of fiction, drama, poetry, and autobiography, both original and translated. A number of the Press's titles have garnered academic awards, in fields ranging from history and archaeology to creative non-fiction to distance education; other titles have been recognized for their design.[2] AU Press also publishes websites with content that has scholarly parameters and standards, especially grey literature on distance learning; and primary sources in labour studies, Métis and Aboriginal Studies, gender studies, and the environment.[3]
",https://upload.wikimedia.org/wikipedia/en/3/32/Atria_logo.png,United States,Books,2002,Simon & Schuster,Simon & Schuster Building,www.simonandschusterpublishing.com/atria/,,,38
39,Aunt Lute Books,"
",https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Aunt_Lute_Books.jpg/220px-Aunt_Lute_Books.jpg,Unknown,Books,1982,Unkown,"San Francisco, CA",auntlute.com,,,39
40,Austin Macauley Publishers,"The Making of the President 1960, written by journalist Theodore H. White and published by Atheneum Publishers in 1961,[1] is a book that recounts and analyzes the 1960 election in which John F. Kennedy was elected President of the United States. The book won the 1962 Pulitzer Prize for General Non-Fiction[2]  and was the first in a series of books by White about American presidential elections. (The others are The Making of the President 1964 (1965), The Making of the President 1968 (1969), and
The Making of the President 1972 (1973).)
",https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Logo_for_Austin_Macauley_Publishers.jpg/220px-Logo_for_Austin_Macauley_Publishers.jpg,United Kingdom,Books,2006,Unkown,London,www.austinmacauley.com,,,40
41,Avery Publishing,"
",https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Avery_Publishing_logo.png/220px-Avery_Publishing_logo.png,United States,Books,1976,Penguin Random House,New York City,www.penguin.com,,,41
42,Avon Publications,"
",-1,United States,Unknown,1941; 80 years ago (1941),HarperCollins,New York City,avonromance.com,,,42
43,Baen Books,"
",https://upload.wikimedia.org/wikipedia/en/e/e1/Baen_Books_logo.png,United States,Books,1983,Unkown,"Wake Forest, North Carolina",www.baen.com,,,43
44,Baker Publishing Group,"Aunt Lute Books is a multicultural feminist press whose mission is to ""publish literature by women whose voices have been traditionally under-represented in mainstream and small press publishing"" and ""distribute literature that expresses the true complexity of women’s lives and the possibilities for personal and social change.""[1] The publisher has a stated aim to embrace the opportunity to work with and support first-time authors.[1]
",https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Baker_Publishing_Group_logo.jpg/200px-Baker_Publishing_Group_logo.jpg,United States,Unknown,1939,Unkown,"Ada, Michigan",bakerpublishinggroup.com,,,44
45,Ballantine Books,"Austin Macauley Publishers Limited is a British publishing company, with offices in London, New York and Sharjah. The company was founded in 2006 and publishes fiction and non-fiction books. It publishes new and established authors.[1] The company publishes books in English and Arabic languages.[2]
",https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Ballantine-books-logo.png/160px-Ballantine-books-logo.png,United States,Unknown,1952; 69 years ago (1952),Random House,New York City,randomhousebooks.com,17,"54,56,57,59,60,63",45
46,Banner of Truth Trust,"Avery Publishing is a book publishing imprint of the Penguin Group, founded as an independent publisher in 1976 by Rudy Shur and partners,[1][2] and purchased by Penguin in 1999.[3][4] The current president is veteran publisher William Shinker.[5] Their offices were located at one time in Garden City, New York, home to other publisher's offices.
",https://upload.wikimedia.org/wikipedia/en/thumb/1/19/Banner_of_Truth.jpg/100px-Banner_of_Truth.jpg,United Kingdom,"Books, magazine",1957 (1957),Unkown,Edinburgh,www.banneroftruth.org,,,46
47,Bantam Spectra,"HarperCollins Publishers LLC is one of the Big Five English-language publishing companies, alongside Penguin Random House, Simon & Schuster, Hachette, and Macmillan. The company is headquartered in New York City and is a subsidiary of News Corp. The name is a combination of several publishing firm names: Harper & Row, an American publishing company acquired in 1987—whose own name was the result of an earlier merger of Harper & Brothers (founded in 1817) and Row, Peterson & Company—together with Scottish publishing company William Collins, Sons (founded in 1819), acquired in 1989.
",https://upload.wikimedia.org/wikipedia/en/e/e4/Bantam_Spectra_logo.png,United States,Books,1945,Bantam Books,"New York City, New York",www.unboundworlds.com,,,47
48,Barrie & Jenkins,"Baker Publishing Group is a Christian book publisher based in Ada, Michigan. It has six subdivisions: Bethany House, Revell, Baker Books, Baker Academic, Chosen, and Brazos Press.
",-1,United Kingdom,Books,1964,Random House,London,Not available,,,48
49,Basic Books,"Ballantine Books is a major book publisher located in the United States, founded in 1952 by Ian Ballantine with his wife, Betty Ballantine.[1] It was acquired by Random House in 1973, which in turn was acquired by Bertelsmann in 1998 and remains part of that company today. Ballantine's logo is a pair of mirrored letter Bs back to back.[2] The firm's early editors were Stanley Kauffmann and Bernard Shir-Cliff.[3]
",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Basic_Books_colophon.png/220px-Basic_Books_colophon.png,United States,Unknown,1950,Hachette Books,"New York, New York",www.basicbooks.com,,,49
50,BBC Books,"
",https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/BBCbooks.svg/200px-BBCbooks.svg.png,United Kingdom,Books,Unknown,Penguin Random House,London,eburypublishing.co.uk,,,50
51,Belknap Press,"Bantam Books is an American publishing house owned entirely by parent company Random House, a subsidiary of Penguin Random House; it is an imprint of the Random House Publishing Group. It was formed in 1945 by Walter B. Pitkin, Jr., Sidney B. Kramer, and Ian and Betty Ballantine, with funding from Grosset & Dunlap and Curtis Publishing Company. It has since been purchased several times by companies including National General, Carl Lindner's American Financial and, most recently, Bertelsmann; it became part of Random House in 1998, when Bertelsmann purchased it to form Bantam Doubleday Dell.[1] It began as a mass market publisher, mostly of reprints of hardcover books, with some original paperbacks as well. It expanded into both trade paperback and hardcover books, including original works, often reprinted in house as mass-market editions.
",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Harvard_univ_press.svg/220px-Harvard_univ_press.svg.png,United States,Academic publishing,"January 13, 1913 (1913-01-13)",Harvard University,"Cambridge, Massachusetts",www.hup.harvard.edu,,,51
52,Bella Books,"
",https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Bella_Books_logo.png/100px-Bella_Books_logo.png,United States,Unknown,2001,Unkown,"Tallahassee, Florida",www.bellabooks.com,,,52
53,Bellevue Literary Press,"
",https://upload.wikimedia.org/wikipedia/en/thumb/8/85/Bellevue_literary_press.png/180px-Bellevue_literary_press.png,United States,Books,2007,Unkown,"New York, New York",www.blpress.org,,,53
54,Bendon Publishing International,"Bantam Books is an American publishing house owned entirely by parent company Random House, a subsidiary of Penguin Random House; it is an imprint of the Random House Publishing Group. It was formed in 1945 by Walter B. Pitkin, Jr., Sidney B. Kramer, and Ian and Betty Ballantine, with funding from Grosset & Dunlap and Curtis Publishing Company. It has since been purchased several times by companies including National General, Carl Lindner's American Financial and, most recently, Bertelsmann; it became part of Random House in 1998, when Bertelsmann purchased it to form Bantam Doubleday Dell.[1] It began as a mass market publisher, mostly of reprints of hardcover books, with some original paperbacks as well. It expanded into both trade paperback and hardcover books, including original works, often reprinted in house as mass-market editions.
",-1,United States,Books,2001,Unkown,Ohio,www.bendonpub.com,,,54
55,Berg Publishers,"Barrie & Jenkins was a small British publishing house that was formed in 1964 from the merger of the companies Herbert Jenkins (founded by English writer Herbert George Jenkins) and Barrie & Rockliff (whose managing director was Leopold Ullstein and whose editorial staff included John Bunting and John Pattison).[1] Barrie & Rockcliff was itself the result of the merger in the 1950s of James Barrie Books, founded in 1947 by James Barrie[2] whose great-uncle and godfather had been the playwright J. M. Barrie, and of the Rockliff Publishing Corporation, which was ""known for its theatre list"".[3]
",-1,United Kingdom,Books,1983 (1983),Unkown,Oxford,www.bergpublishers.com/Home/tabid/36/Default.aspx,,,55
56,Berkley Books,"
",https://upload.wikimedia.org/wikipedia/commons/1/1b/Berkley_Books_logo.png,United States,Unknown,1955; 66 years ago (1955),Penguin Group,New York City,berkleyjoveauthors.com,,,56
57,Bison Books,"
",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Nebraska-logo.jpg/220px-Nebraska-logo.jpg,United States,Books,1941,University of Nebraska–Lincoln,"Lincoln, Nebraska",www.nebraskapress.unl.edu,,,57
58,Black Dog Publishing,"Bella Books is a small press publisher of lesbian literature based in Tallahassee, Florida.
",-1,United Kingdom,Books,1993,St James’s House Media Group,London,www.blackdogonline.com,,,58
59,Black Ink Collective,"Bellevue Literary Press (BLP) is an American publisher. It was founded in 2007 as a sister organization of Bellevue Literary Review, located at Bellevue Hospital in New York City. It became an independent nonprofit in 2018.[1]
",-1,England,Books,1978,Unkown,"Brixton, London",Not available,,,59
60,Black Library,"Bendon is an American publisher of children's books.
",-1,United Kingdom,Books,April 1997,Games Workshop,Nottingham,www.blacklibrary.com,,,60
61,Black Sparrow Press,"Berg Publishers was an academic publishing company based in Oxford, England and Providence, Rhode Island that was founded in 1983 by Marion Berghahn.[1] Berg published monographs, textbooks, and reference works as well as academic journals. Concentrations were fashion, design, anthropology, history, and cultural studies.[2] Shortly after Marion's husband, the historian Volker Berghahn accepted a chair at Brown University in 1988, operations in Providence began.[3]
",https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Black_Sparrow_Press_Logo.jpg/220px-Black_Sparrow_Press_Logo.jpg,United States,Books,1966,Godine,Boston,godine.com,,,61
62,Black & White Publishing,"
",-1,United Kingdom,Books,1999,Unkown,Edinburgh,blackandwhitepublishing.com,,,62
63,Blackstaff Press,"
",https://upload.wikimedia.org/wikipedia/en/c/c4/Blackstaff_Press_logo.jpg,Northern Ireland,Books,1971,Colourpoint Books,Newtownards,blackstaffpress.com,,,63
64,Blackwell Publishing,"An imprint of a publisher is a trade name under which it publishes a work. A single publishing company may have multiple imprints, often using the different names as brands to market works to various demographic consumer segments.[1]
",https://upload.wikimedia.org/wikipedia/commons/5/54/Wiley_Blackwell_Logo.gif,United States,academic journals,1922; 99 years ago (1922),John Wiley & Sons,"Hoboken, New Jersey",www.wiley.com/wiley-blackwell,,,64
65,Blake Publishing,"The University of Nebraska Press, also known as UNP, was founded in 1941 and is an academic publisher of scholarly and general-interest books. The press is under the auspices of the University of Nebraska–Lincoln, the main campus of the University of Nebraska system. UNP publishes primarily non-fiction books and academic journals, in both print and electronic editions. The press has particularly strong publishing programs in Native American studies, Western American history, sports, world and national affairs, and military history. The press has also been active in reprinting classic books from various genres, including science fiction and fantasy.
",-1,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,65
66,Bloodaxe Books,"Black Dog Publishing was a British publishing company specialising in illustrated non-fiction books on contemporary culture. Topics covered by Black Dog include architecture, art, craft, design, environment, fashion, film, music and photography. 
",-1,United Kingdom,Books,1978,Unkown,Hexham,www.bloodaxebooks.com,,,66
67,Blue Ribbon Books,"The Black Library is a division of Games Workshop (formerly a part of BL Publishing) which is devoted to publishing novels and audiobooks (and has previously produced art books, background books, and graphic novels) set in the Warhammer Fantasy Battle, Warhammer Age of Sigmar and Warhammer 40,000 fictional universes. Some of Black Library's best known titles include the Gaunt's Ghosts and Eisenhorn series of novels by Dan Abnett and the Gotrek and Felix series by William King and Nathan Long.
",https://upload.wikimedia.org/wikipedia/en/thumb/f/fe/Doubleday_Publishing.png/220px-Doubleday_Publishing.png,United States,Books,1897; 124 years ago (1897),Penguin Random House,New York City,knopfdoubleday.com/imprint/doubleday/,,,67
68,Bobbs-Merrill Company,"Black Sparrow Press is a New England based independent book publisher, known for literary fiction and poetry.
",-1,United States,Unknown,1850; 171 years ago (1850),SAMS Publishing,Indianapolis,Not available,,,68
69,Howard W. Sams Company,"
",-1,United States,Unknown,1940,Pearson Education,"Carmel, Indiana",www.informit.com/sams,,,69
70,Bogle-L'Ouverture Publications,"
",-1,UK,"Non-fiction, fiction, poetry and children's books by Black writers",1969; 52 years ago (1969),Unkown,Unknown,Not available,,,70
71,Book League of America,"
",https://upload.wikimedia.org/wikipedia/en/5/5a/Book-League-of-America-logo.png,Unknown,Unknown,1930,Unkown,Unknown,Not available,,,71
72,Booktrope,"
",https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Booktrope_Logo.png/300px-Booktrope_Logo.png,United States,Books,Unknown,Unkown,Seattle,www.booktrope.com,,,72
73,Borgo Press,"
",-1,United States,Unknown,1975,Unkown,"San Bernardino, California",Not available,,,73
74,Boundless,"
",https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Boundless-logo-centered.png/220px-Boundless-logo-centered.png,Unknown,Unknown,March 2011; 10 years ago (2011-03),Unkown,Unknown,Not available,,,74
75,Boydell & Brewer,"Doubleday is an American publishing company. It was founded as the Doubleday & McClure Company in 1897 and was the largest in the United States by 1947. It published the work of mostly U.S. authors under a number of imprints and distributed them through its own stores. In 2009 Doubleday merged with Knopf Publishing Group to form the Knopf Doubleday Publishing Group, which is now part of Penguin Random House. In 2019, the official website presents Doubleday as an imprint, not a publisher.
",-1,England,Unknown,1978; 43 years ago (1978),Unkown,Suffolk,boydellandbrewer.com,,,75
76,Broadside Lotus Press,"The Bobbs-Merrill Company was a book publisher located in Indianapolis, Indiana.
",-1,United States,Books,Dudley Randall – Broadside Press 1965; 56 years ago (1965),Unkown,Detroit,broadsidelotuspress.org,,,76
77,Broadview Press,"
",-1,Canada,Books,1985,Unkown,"Peterborough, Ontario",broadviewpress.com,,,77
78,Burns & Oates,"The Book League of America, Inc. was a US book publisher and mail order book sales club. It was established in 1930, a few years after the Book of the Month Club.[1] Its founder was Lawrence Lamm, previously an editor at Macmillan Inc..[1] The company was located at 100 Fifth Avenue, New York City, New York[2] in a 240,000-square-foot (22,000 m2) office building that was constructed in 1906.[3] It printed and  distributed a variety of volumes in the 1920s, 1930s, 1940s, and 1950s. A victim of the Great Depression,[1] the Book League of America was purchased by Doubleday in 1936.
",-1,United Kingdom,Books,1835,Continuum,London,Not available,69,221,78
79,Butterworth-Heinemann,"Booktrope (founded 2010, ceased operations 2016) was a Seattle-based hybrid publisher which specialized in community-based team publishing.[1] Applying a ""team publishing"" model, under which authors, editors, designers and marketing managers shared revenue, the company published approximately 1000 books in print and ebook formats. It ceased operations as of May 31, 2016.[2]
",https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Butterworth-Heinemann_logo.jpg/220px-Butterworth-Heinemann_logo.jpg,United Kingdom,Unknown,1990,Elsevier,Oxford,www.elsevier.com/books-and-journals/butterworth-heinemann,,,79
80,Caister Academic Press,"Wildside Press is an independent publishing company in Cabin John, Maryland, United States. It was founded in 1989 by John Betancourt and Kim Betancourt. While the press was originally conceived as a publisher of speculative fiction in both trade and limited editions, its focus has broadened since then, both in content and format.
",https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Caister-academic-press.jpg/250px-Caister-academic-press.jpg,United Kingdom,Unknown,1993,Unkown,"Poole, UK",www.caister.com,,,80
81,Cambridge University Press,"Boundless was an American company, founded in 2011, which created free and low-cost textbooks and distributed them online. In April 2015, it was acquired by Valore.[1] The combined company is based in Boston, Massachusetts.
",https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Cambridge_University_Press_%26_Assessment_Logo.png/220px-Cambridge_University_Press_%26_Assessment_Logo.png,United Kingdom,Unknown,1534; 487 years ago (1534),University of Cambridge,Cambridge,www.cambridge.org,77,"230,236,237",81
82,Canadian Science Publishing,"Bowes & Bowes was a bookselling and publishing company based in Cambridge, England. It was established by Robert Bowes (1835–1919), a nephew of Daniel Macmillan (1813–1857) — the founder, with his brother Alexander, in 1843, of a firm which by 1850 was a thriving bookshop with the official name ‘Macmillan & Co.’[1] The same bookshop was eventually owned by Alexander Macmillan in partnership with Robert Bowes. The company became known as ‘Bowes & Bowes’ only in 1907, George Brimley Bowes (1874-1946, Robert Bowes’ son) having become  a partner in the business in 1899.[2]  The firm continued as a family business until 1953 when it was acquired by W H Smith, who continued to operate it under the original name until 1986. In that year the business’s name was changed to Sherratt & Hughes.
",https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Canadian_Science_Publishing_Logo.png/220px-Canadian_Science_Publishing_Logo.png,Canada,academic journals,1929,Unkown,Ottawa,cdnsciencepub.com,,,82
